year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,137,Tangail,TANGAIL8,270983,240889,88.89,65521,27.2,134626,55.89,,,,,,,,,40391,16.77,351,MOHAJOTE
2008,138,Jamalpur,JAMALPUR1,271118,237742,87.69,70680,29.73,115722,48.68,,,,,,,,,50889,21.41,451,MOHAJOTE
2008,139,Jamalpur,JAMALPUR2,203872,178949,87.78,62635,35,108847,60.83,,,,,,,,,7114,3.98,353,MOHAJOTE
2008,140,Jamalpur,JAMALPUR3,308478,273065,88.52,99113,36.3,171926,62.96,,,,,,,,,1446,0.53,580,MOHAJOTE
2008,141,Jamalpur,JAMALPUR4,239707,213550,89.09,85955,40.25,126433,59.21,,,,,,,,,540,0.25,622,MOHAJOTE
2008,142,Jamalpur,JAMALPUR5,338825,291445,86.02,88118,30.23,198899,68.25,,,,,,,,,2667,0.92,1761,MOHAJOTE
2008,143,Sherpur,SHERPUR1,286266,248363,86.76,110070,44.32,136127,54.81,,,,,,,,,1517,0.61,649,MOHAJOTE
2008,144,Sherpur,SHERPUR2,269543,234972,87.17,75637,32.19,156973,66.8,,,,,,,,,1510,0.64,852,MOHAJOTE
2008,145,Sherpur,SHERPUR3,254285,216212,85.03,65753,30.41,106631,49.32,,,,,,,,,43497,20.12,331,MOHAJOTE
2008,146,Mymensingh,MYMENSINGH1,284770,238633,83.8,91345,38.28,142981,59.92,,,,,,,,,3487,1.46,820,MOHAJOTE
2008,147,Mymensingh,MYMENSINGH2,320911,271269,84.53,94090,34.69,172533,63.6,,,,,,,,,3613,1.33,1033,MOHAJOTE
2008,148,Mymensingh,MYMENSINGH3,308871,261665,84.72,76517,29.24,177280,67.75,,,,,,,,,7091,2.71,777,MOHAJOTE
2008,149,Mymensingh,MYMENSINGH4,333728,264221,79.17,85760,32.46,,,172239,65.19,,,1653,0.63,,,1873,0.71,2696,AL
2008,150,Mymensingh,MYMENSINGH5,239726,206410,86.1,81205,39.34,121255,58.74,,,,,,,,,3380,1.64,570,MOHAJOTE
2008,151,Mymensingh,MYMENSINGH6,256626,211190,82.29,81514,38.6,125629,59.49,,,,,,,,,3205,1.52,842,MOHAJOTE
2008,152,Mymensingh,MYMENSINGH7,242602,198632,81.88,58040,29.22,135379,68.16,,,,,,,,,4325,2.18,888,MOHAJOTE
2008,153,Mymensingh,MYMENSINGH8,211511,179298,84.77,57041,31.81,121163,67.58,,,,,,,,,,,1094,MOHAJOTE
2008,154,Mymensingh,MYMENSINGH9,229672,187972,81.84,56843,30.24,127309,67.73,,,,,,,,,3048,1.62,772,MOHAJOTE
2008,155,Mymensingh,MYMENSINGH10,255938,217826,85.11,71511,32.83,142126,65.25,,,,,,,,,3646,1.67,543,MOHAJOTE
2008,156,Mymensingh,MYMENSINGH11,233865,202502,86.59,63376,31.3,137375,67.84,,,,,,,,,1282,0.63,469,MOHAJOTE
2008,157,Netrokona,NETRAKONA1,262387,220088,83.88,82322,37.4,132977,60.42,,,,,,,,,4355,1.98,434,MOHAJOTE
2008,158,Netrokona,NETRAKONA2,276690,248181,89.7,79572,32.06,,,164076,66.11,,,1652,0.67,,,1911,0.77,970,AL
2008,159,Netrokona,NETRAKONA3,254592,221679,87.07,86948,39.22,132557,59.8,,,,,,,,,1770,0.8,404,MOHAJOTE
2008,160,Netrokona,NETRAKONA4,231609,204162,88.15,3105,1.52,108725,53.25,,,,,,,,,91994,45.06,338,MOHAJOTE
2008,161,Netrokona,NETRAKONA5,184332,155775,84.51,28675,18.41,108860,69.88,,,,,,,,,17688,11.35,552,MOHAJOTE
2008,162,Kishoreganj,KISHOREGANJ1,329270,277819,84.37,100080,36.02,172065,61.93,,,,,,,,,4477,1.61,1197,MOHAJOTE
2008,163,Kishoreganj,KISHOREGANJ2,317093,278055,87.69,99522,35.79,172341,61.98,,,,,,,,,5243,1.89,949,MOHAJOTE
2008,164,Kishoreganj,KISHOREGANJ3,259374,212165,81.8,53211,25.08,156116,73.58,,,,,,,,,2442,1.15,396,MOHAJOTE
2008,165,Kishoreganj,KISHOREGANJ4,240832,208969,86.77,92440,44.24,115093,55.08,,,,,,,,,1025,0.49,411,MOHAJOTE
2008,166,Kishoreganj,KISHOREGANJ5,216036,191192,88.5,65054,34.03,123474,64.58,,,,,,,,,1932,1.01,732,MOHAJOTE
2008,167,Kishoreganj,KISHOREGANJ6,256063,235135,91.83,89837,38.21,144587,61.49,,,,,,,,,,,711,MOHAJOTE
2008,168,Manikganj,MANIKGANJ1,301238,270807,89.9,102412,37.82,147322,54.4,,,,,,,,,20228,7.47,845,MOHAJOTE
2008,169,Manikganj,MANIKGANJ2,314491,276553,87.94,126423,45.71,148276,53.62,,,,,,,,,1145,0.41,709,MOHAJOTE
2008,170,Manikganj,MANIKGANJ3,253576,225965,89.11,92216,40.81,130111,57.58,,,,,,,,,2491,1.1,1147,MOHAJOTE
2008,171,Munshiganj,MUNSHIGANJ1,325242,288951,88.84,99233,34.34,144159,49.89,,,,,,,,,44704,15.47,855,MOHAJOTE
