year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,awamiLeague,awamiLeaguePercentage,jatiyaParty,jatiyaPartyPercentage,others,othersPercentage,winner
2001,241,Habiganj,Habiganj4,311287,237504,76.3,93031,39.17,107376,45.21,32446,13.66,4651,1.96,AL
2001,242,Brahmanbaria,Brahmminbaria1,158846,125232,78.84,30576,24.42,37163,29.68,10239,8.18,47254,37.73,Others
2001,243,Brahmanbaria,Brahmminbaria2,246892,179059,72.53,99804,55.74,56543,31.58,5397,3.01,17315,9.67,4P
2001,244,Brahmanbaria,Brahmminbaria3,388517,280491,72.2,150074,53.50,123158,43.91,6348,2.26,911,0.32,4P
2001,245,Brahmanbaria,Brahmminbaria4,248031,168098,67.77,81229,48.32,60340,35.90,25773,15.33,756,0.45,4P
2001,246,Brahmanbaria,Brahmminbaria5,265250,173332,65.35,102890,59.36,60368,34.83,8847,5.10,1227,0.71,4P
2001,247,Brahmanbaria,Brahmminbaria6,177520,126570,71.3,75716,59.82,50306,39.75,322,0.25,226,0.18,4P
2001,248,Comilla,Comilla1,175001,109657,62.66,73936,67.42,34645,31.59,592,0.54,484,0.44,4P
2001,249,Comilla,Comilla2,340631,211730,62.16,128680,60.78,54651,25.81,2336,1.10,26063,12.31,4P
2001,250,Comilla,Comilla3,306188,199155,65.04,107511,53.98,83301,41.83,2906,1.46,5437,2.73,4P
2001,251,Comilla,Comilla4,241321,155695,64.52,92329,59.30,58877,37.82,3187,2.05,1302,0.84,4P
2001,252,Comilla,Comilla5,267360,190830,71.38,96828,50.74,87276,45.73,6034,3.16,692,0.36,4P
2001,253,Comilla,Comilla6,185157,127723,68.98,87483,68.49,39364,30.82,342,0.27,534,0.42,4P
2001,254,Comilla,Comilla7,205665,152920,74.35,89623,58.61,58898,38.52,3964,2.59,435,0.28,4P
2001,255,Comilla,Comilla8,226885,134969,59.49,65447,48.49,34399,25.49,1911,1.42,33212,24.61,4P
2001,256,Comilla,Comilla9,195018,146464,75.1,78622,53.68,66175,45.18,496,0.34,1171,0.80,4P
2001,257,Comilla,Comilla10,264626,185513,70.1,107769,58.09,70434,37.97,6518,3.51,792,0.43,4P
2001,258,Comilla,Comilla11,184194,135964,73.82,87898,64.65,47176,34.70,391,0.29,499,0.37,4P
2001,259,Comilla,Comilla12,219402,164210,74.84,108407,66.02,54172,32.99,474,0.29,1157,0.70,4P
2001,260,Chadpur,Chadpur1,202444,149159,73.68,85507,57.33,62537,41.93,725,0.49,390,0.26,4P
2001,261,Chadpur,Chadpur2,226693,130901,57.74,78205,59.74,50516,38.59,,,2180,1.67,4P
2001,262,Chadpur,Chadpur3,198645,123718,62.28,72830,58.87,47324,38.25,3009,2.43,555,0.45,4P
2001,263,Chadpur,Chadpur4,259559,162923,62.77,92829,56.98,61740,37.90,5957,3.66,2397,1.47,4P
